Product Name,Category Name,Reference Part Number,Description,SKU,Stok per tgl 18 May 2025,Lokasi Stok,,Notes
First Product,Category Name,"ABC11,EFG22,HIJ33",Product Description,ABC,,,,pastikan masing2 nama produk unik (tidak ada persamaan dengan data lainnya)
AIR FILTER,,,-,-,,,,pastikan kategori barang ada di database
30060580SA,Oil Separator,Sanfam SB 580,-,-,7,Jakarta,,
300DCY75A,Oil Separator,A-A11-DNMC-100705,-,-,5,"4pcs Jakarta, 1pcs Surabaya",,
300ELM150,Oil Separator,ELM 150 = 2001001500,-,-,0,,,
300S37U,Oil Separator,"300S37U (Uk. 37 x 11,5 x 7,5cm)(Darisa Intimitra)",-,-,0,,,
300S55U,Oil Separator,"300S55U (Uk. 25 x 11,5 x 7,5cm)(Darisa Intimitra)",-,-,0,,,
30830A,Oil Separator,30830A = RB-9140265 = RCB 30-A,-,-,0,,,
30850A,Oil Separator,30850A = RB-9140365 =  RCB 50-A,-,-,0,,,
409805-001,Oil Separator,250034-122,-,-,0,,,
49 000 51 101,Oil Separator,49 000 51 101,-,-,0,,,
5517-3021,Oil Separator,5517-3021,-,-,0,,,
6221-3728-00,Oil Separator,6221-3728-00,-,-,0,,,
72.12302.0801.23,Oil Separator,72.12302.0801.23 = 72.12302.0804.24 = 72.12302.0801.00 = 71.10406.8083.22,-,-,0,,,
LB 1374/2,Oil Separator,575.000.105 = LB 1374/2,-,-,30,Jakarta,,
LB 962/2,Oil Separator,LB 962/2,-,-,0,,,
MSB6966-S,Oil Separator,MSB6966-S = 05V 21 080 = OSC 220 OZEN,-,-,3,Jakarta,,
MYF-70/110-P-K,Oil Separator,MYF-70/110-P-K (untuk Kadota),-,-,0,,,
MYF-70/175-P-K = 1595530100,Oil Separator,MYF-70/175-P-K (untuk APF) = 1595530100,-,-,0,,,
1005475,Oil Separator,MYF-70/60-P-K separator for MKP 2200 (for Asahimas),,,0,,,
P-CE03-517,Oil Separator,P-CE03-517,-,-,0,,,
P-CE03-577,Oil Separator,P-CE03-577,-,-,5,Jakarta,,
P-CE13-506,Oil Separator,P-CE13-506,-,-,0,,,
